Timestamp,RA,Dec,trackingRA,trackingDec
2026-04-24_04:38:36.386908,213.905909,18.968002,214.24059391,19.0573196411
2026-04-24_04:39:03.927740,213.905617,18.967923,214.24059391,19.0572071075
2026-04-24_04:39:04.428510,213.906315,18.967565,214.240465164,19.0572509766
2026-04-24_04:39:32.970849,213.905078,18.967898,214.240264893,19.0574054718
2026-04-24_04:39:33.471543,213.905538,18.967774,214.239907265,19.0574054718
2026-04-24_04:40:03.516075,213.905432,18.967667,214.239835739,19.0575275421
2026-04-24_04:40:04.016804,213.905171,18.967802,214.240279198,19.0573692322
2026-04-24_04:40:35.062782,213.904767,18.968208,214.240479469,19.05727005
2026-04-24_04:40:35.563520,213.905351,18.967858,214.240036011,19.057384491
2026-04-24_04:41:07.611058,213.90523,18.968213,214.240307808,19.0572357178
2026-04-24_04:41:08.111807,213.904991,18.968137,214.239878654,19.057641983
2026-04-24_04:41:40.660020,213.904637,18.968716,214.240407944,19.057302475
2026-04-24_04:41:41.160790,213.905079,18.968187,214.239792824,19.0575885773
2026-04-24_04:42:15.211253,213.905026,18.968593,214.240479469,19.0573234558
2026-04-24_04:42:15.711991,213.905287,18.968365,214.240021706,19.0574493408
2026-04-24_04:42:50.763885,213.904445,18.968999,214.240121841,19.0574569702
2026-04-24_04:42:51.264655,213.904867,18.968861,214.240221977,19.0572719574
2026-04-24_04:43:27.318113,213.905087,18.968514,214.239864349,19.057516098
2026-04-24_04:43:27.818869,213.90473,18.968796,214.240250587,19.0574226379
2026-04-24_04:44:04.873773,213.904448,18.968882,214.240379333,19.0573177338
2026-04-24_04:44:05.374559,213.904745,18.968858,214.239606857,19.0575447083
2026-04-24_04:44:42.930223,213.9047,18.969284,214.240422249,19.0573768616
2026-04-24_04:44:43.430982,213.904917,18.969102,214.239778519,19.0576133728
2026-04-24_04:45:22.488802,213.904484,18.970156,214.240078926,19.0574398041
2026-04-24_04:45:22.989572,213.90478,18.969646,214.239864349,19.0575942993
2026-04-24_04:46:02.548237,213.904437,18.969533,214.239521027,19.0578041077
2026-04-24_04:46:03.048965,213.903885,18.970114,214.240121841,19.0574913025
2026-04-24_04:46:44.109800,213.904121,18.969867,214.240322113,19.0574436188
2026-04-24_04:46:44.610609,213.904555,18.969639,214.23995018,19.0575637817
2026-04-24_04:47:26.672894,213.904154,18.969941,214.240207672,19.0574111938
2026-04-24_04:47:27.173688,213.904315,18.969825,214.239907265,19.0574512482
2026-04-24_04:48:10.237467,213.903749,18.969887,214.240307808,19.0574512482
2026-04-24_04:48:10.738228,213.904089,18.969918,214.240107536,19.0574645996
2026-04-24_04:48:54.803545,213.903647,18.970211,214.23997879,19.0574588776
2026-04-24_04:48:55.304321,213.903549,18.970254,214.240150452,19.0574550629
2026-04-24_04:49:40.371130,213.903267,18.970418,214.240365028,19.0573406219
2026-04-24_04:49:40.871837,213.903955,18.970178,214.240036011,19.0573291779
2026-04-24_04:50:26.439406,213.903122,18.970407,214.239721298,19.0576000214
2026-04-24_04:50:26.940042,213.902849,18.970515,214.240193367,19.0573635101
2026-04-24_04:52:42.140413,203.706927,17.939461,204.082231522,18.011964798
2026-04-24_04:52:42.641171,203.70926,17.93929,204.093089104,18.011964798
2026-04-24_04:53:31.213169,203.911178,17.939574,204.286952019,18.011964798
2026-04-24_04:53:31.713908,203.913202,17.939859,204.298639297,18.011964798
2026-04-24_04:54:21.788121,204.123491,17.939809,204.498338699,18.011964798
2026-04-24_04:54:22.288950,204.125673,17.939801,204.509210587,18.011964798
2026-04-24_04:55:12.864004,204.336936,17.938651,204.712171555,18.012014389
2026-04-24_04:55:13.364658,204.338982,17.938964,204.723043442,18.012014389
2026-04-24_04:56:04.941178,204.554686,17.938992,204.929437637,18.012014389
2026-04-24_04:56:05.441958,204.557051,17.938942,204.941124916,18.012014389
2026-04-24_04:56:58.520642,204.778869,17.93802,205.153355598,18.012014389
2026-04-24_04:56:59.021372,204.781828,17.937989,205.165071487,18.012014389
2026-04-24_04:57:53.101545,205.007671,17.938263,205.381479263,18.012014389
2026-04-24_04:57:53.602282,205.009491,17.938465,205.393166542,18.012014389
2026-04-24_04:58:48.683897,205.240825,17.938082,205.613765717,18.012014389
2026-04-24_04:58:49.184686,205.24254,17.938038,205.6254673,18.012014389
2026-04-24_04:58:51.688283,205.252665,17.937909,205.637168884,18.012014389
2026-04-24_04:58:55.193562,205.267177,17.937498,205.648870468,18.012014389
2026-04-24_04:58:58.698694,205.281979,17.938166,205.660557747,18.012014389
2026-04-24_04:59:01.703142,205.294322,17.937873,205.672259331,18.012014389
2026-04-24_04:59:05.208474,205.308845,17.938519,205.683116913,18.012014389
2026-04-24_04:59:10.716527,205.332348,17.938014,205.705690384,18.012014389
2026-04-24_04:59:11.217285,205.33446,17.938257,205.716547966,18.012014389
2026-04-24_04:59:19.729898,205.369727,17.93816,205.743284225,18.012014389
2026-04-24_04:59:20.230687,205.371864,17.938277,205.754985809,18.012014389
2026-04-24_04:59:30.245474,205.413813,17.937902,205.787572861,18.012014389
2026-04-24_04:59:30.746262,205.416208,17.938168,205.798430443,18.012014389
2026-04-24_04:59:41.261867,205.459905,17.938407,205.833520889,18.012014389
2026-04-24_04:59:41.762630,205.461703,17.938347,205.845222473,18.012014389
2026-04-24_04:59:53.780346,205.51192,17.936288,205.885334015,18.012014389
